Step Temp Press PotEng Nconf Lcom[3] Ucom[3] fe fx fy fz fse fsx fsy fsz 
   14900    302.07299    440.95467   -683756.31          493    93.270118    120.76377   -514.02999   -11.658719  -0.11472701   -57.023497   -14986.208   -43.523419    70.132479    144.33881 
   15000    297.98415    204.96042   -683582.73          494    93.270337    120.76573   -506.32067   -11.896767 -0.050538526   -57.816807   -15078.643     -32.7625    30.127409    56.379061 
   15100    298.98837    49.043452   -683645.36          496    93.283271    120.77816   -498.08442   -12.868556 0.0072101573   -56.929068   -14991.865   -18.464008   -49.433967    196.29975 
   15200    298.68492   -257.06499    -683470.2          495     93.29229    120.79121   -512.98247   -11.741137 -0.061366994   -57.751827   -15040.392   -44.464775    4.7064042   -78.436833 
   15300    299.68826    515.37569   -683442.94          496    93.306292    120.80013   -522.85174   -12.178403  -0.15096491   -59.734847    -15177.43   -61.266139    90.852127    -42.00174 
   15400    300.76878   -25.857757   -683518.45          497     93.31239    120.80516   -507.74182   -13.270575  0.076697424   -57.855229    -15080.82    33.202974   -50.557494     277.4926 
   15500    299.49166    135.07682   -683448.07          494    93.307424    120.80115   -501.42902   -11.355412   0.23509186   -56.474492   -15116.961    106.32506    85.488576    156.71347 
   15600    297.54095    150.31657   -683523.47          501    93.306863    120.80005   -514.18623   -13.378495   0.29351444   -58.458366   -15088.016   -51.194408    3.8204521    16.796083 
   15700    297.91258    76.640726   -683529.99          497    93.309403    120.80184   -502.55607   -13.599547   0.30241062   -57.820437   -15110.598    68.289289    8.3288004   -47.765563 
   15800    298.43942   -46.148999   -683410.54          497    93.299643    120.79433   -519.84959   -13.733896  0.061324858   -58.966228   -15201.696   -1.3435141    89.151698    92.573656 
   15900    299.44661    -213.5117   -683434.72          497    93.289388    120.78433   -504.15422   -13.233021 -0.087630722   -56.958233   -15094.035   -38.054653   -43.907214    91.955736 
   16000    297.07548    150.42783   -683244.11          498    93.275869    120.77108    -524.4546   -12.259723  0.097308345   -58.447113   -15083.364     17.76762   -9.7460843    15.009135 
   16100    300.72192    -117.6897   -683285.98          493    93.261075     120.7573    -528.8808   -13.706505   0.20499458   -60.140629   -15204.618   -87.734918   -35.017162   -6.4588726 
   16200    300.13861    102.30507   -683239.56          495    93.244512    120.74082   -506.89936   -14.230349   0.15056197   -58.224978   -15023.483   -6.7485077     32.53048    -2.456116 
   16300    301.61578    515.04982   -683370.21          499    93.234176    120.72889   -504.88524   -16.329169   0.08405663   -58.009424   -15118.685   -68.256513     8.546276     219.1339 
   16400    299.58936    350.24586   -683547.35          499    93.232146    120.72854   -497.87642    -15.44056  0.026154659   -57.635693   -15143.902   -57.925103    65.044253    43.667549 
   16500    298.25777     275.2059   -683481.22          501    93.235627    120.73042    -515.7434   -13.757948   0.10737525   -59.540519    -15242.71   -30.073325   -45.656974    194.53725 
   16600    298.51332    420.28053   -683345.49          497    93.236733    120.73342   -517.14466   -14.369008 -0.076144192   -59.044308   -15108.677   -95.285294   -51.311088   -243.75869 
   16700    303.38227    248.65058   -683411.08          496    93.244284    120.74024   -520.13114   -11.116093  0.011618547   -58.822998   -15117.602    112.40033    36.802874   -198.38408 
   16800    302.71937   -22.855853   -683455.97          494    93.257109    120.75219   -512.86011   -13.354895  0.091222596   -58.836091   -15191.417    113.44247    5.7666755   -83.671235 
   16900    298.59151   -472.58257   -683388.18          496    93.263665    120.76046    -508.5356   -12.925996  0.076523093   -57.230628   -15156.429    155.73677    23.751037    80.491657 
